year,location,mileage,engine_capacity,transmission,service_history,drive_type,regional_specs,owners,fuel_type,cylinders,doors,seats,condition,modifications,name,aed_price,colour
2016,Souq Al Haraj,"94,000",1499,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,N/A,5 Seater,Perfect inside out,N/A,Used Ford Figo Sedan 1.5L Ambient  2016,"16,900",Gray
2021,Souq Al Haraj,"73,000",1500,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,7 Seater,Perfect inside out,N/A,Used Chevrolet Captiva 1.5T LT 2021,"49,900",White
2017,Souq Al Haraj,"151,000",2400,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mitsubishi L200 Double Cab 2017,"37,000",White
2022,Souq Al Haraj,"141,000",1598,Manual,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,8+ Seater,Perfect inside out,N/A,Used Peugeot Partner 1.6L Long Petrol 2022,"52,000",White
2017,Souq Al Haraj,"153,000",2499,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Chevrolet Malibu 2.5L LT 2017,"39,000",Blue
2017,Souq Al Haraj,"148,000",2400,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mitsubishi L200 Double Cab 2017,"37,000",White
2017,Souq Al Haraj,"198,000",2400,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mitsubishi L200 Double Cab 2017,"37,000",White
2020,Souq Al Haraj,"188,010",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,3,4,5 Seater,Perfect inside out,N/A,Used Mitsubishi Attrage 2020,"21,900",Silver
2020,Souq Al Haraj,"100,000",N/A,Manual,N/A,Drive,GCC Specs,N/A,Petrol,4,4,2 Seater,Perfect inside out,N/A,Used Peugeot Partner 2020,"34,900",White
2019,Souq Al Haraj,"106,625",3000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,Used Mitsubishi Pajero 3.0L GLS 5 Door High 2019,"67,000",White
2019,Souq Al Haraj,"60,000",2000,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Evoque 5 Door 2019,"79,900",White
2022,Ras Al Khor,"12,000",5000,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Sport SVR 2022,"439,000",Black
2019,Souq Al Haraj,"120,000",N/A,Manual,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,4,N/A,Perfect inside out,N/A,Used Toyota Hilux 2019,"74,900",White
2020,Souq Al Haraj,"154,700",1500,Manual,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,5,6 Seater,Perfect inside out,N/A,Used Toyota Avanza G 1.5L 2020,"43,000",White
2020,Souq Al Haraj,"142,000",1498,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Nissan Micra 1.5 SV 2020,"24,900",Gray
2015,Souq Al Haraj,"280,996",2700,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,8 Seater,Perfect inside out,N/A,Used Toyota Innova 2.7L GL 2015,"27,500",White
2020,Souq Al Haraj,"159,532",2488,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,5,3 Seater,Perfect inside out,N/A,Used Nissan Urvan 3-Seater Automatic 5-Door 2020,"55,000",White
2015,Souq Al Haraj,"151,401",1800,Manual,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz C-Class C 200 2015,"57,900",Silver
2012,Souq Al Haraj,"115,341",3000,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz E-Class E 300 2012,"32,900",Silver
2016,Souq Al Haraj,"221,000",5700,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used Jeep Grand Cherokee Overland 2016,"57,900",White
2013,Souq Al Haraj,"83,398",N/A,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,8,4,10 Seater,Perfect inside out,N/A,Used GMC Savana 2013,"37,000",White
2015,Souq Al Haraj,"271,063",2700,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,8 Seater,Perfect inside out,N/A,Used Toyota Innova 2.7L GL 2015,"31,500",White
2017,Souq Al Haraj,"245,448",N/A,Manual,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,N/A,Perfect inside out,N/A,Used Kia K2700 2017,"31,000",White
2015,Souq Al Haraj,"304,222",2700,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,4,8 Seater,Perfect inside out,N/A,Used Toyota Innova 2.7L GL 2015,"31,000",White
2013,Souq Al Haraj,"230,660",N/A,Manual,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,4,3 Seater,Perfect inside out,N/A,Used Toyota Hiace 2013,"39,500",White
2017,Souq Al Haraj,"320,000",N/A,Manual,N/A,Rear Wheel Drive,GCC Specs,N/A,Diesel,4,4,N/A,Perfect inside out,N/A,Used Mitsubishi Canter 2017,"62,900",White
2023,Al Awir,0,1598,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,7 Seater,Perfect inside out,N/A,New Jetour X90 Plus  1.6T Comfort 2023,Call for Price,Gray
2022,Al Jarf,"35,600",1300,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,3,5,5 Seater,Perfect inside out,N/A,Used Chevrolet Trailblazer 2022,"59,000",Turqoise
2024,Al Awir,0,1600,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Jetour Dashing 2024,Call for Price,Black
2024,Al Awir,0,1600,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Jetour Dashing 2024,Call for Price,White
2023,Al Awir,0,1500,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,7 Seater,N/A,N/A,New Toyota Veloz 1.5L GX 2023,Call for Price,Black
2023,Al Awir,0,1462,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Suzuki Baleno 1.5L GLX 2023,Call for Price,Black
2013,Souq Al Haraj,"102,534",N/A,Manual,N/A,Rear Wheel Drive,GCC Specs,N/A,Diesel,Not Sure,2,N/A,Perfect inside out,N/A,Used Mitsubishi Canter 2013,"59,900",White
2023,Al Awir,0,1598,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,7 Seater,Perfect inside out,N/A,New Jetour X90 Plus  1.6T Comfort 2023,Call for Price,Gray
2024,Al Awir,0,1600,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Jetour Dashing 2024,Call for Price,Black
2024,Al Awir,0,1600,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Jetour Dashing 2024,Call for Price,White
2023,Al Awir,0,1500,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,7 Seater,N/A,N/A,New Toyota Veloz 1.5L GX 2023,Call for Price,Black
2023,Al Awir,0,1462,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Suzuki Baleno 1.5L GLX 2023,Call for Price,Black
2023,Al Awir,0,1500,Automatic,N/A,Front Wheel Drive,Other Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Suzuki Baleno 2023,Call for Price,Red
2022,Al Awir,0,2000,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Toyota Rav4 2022,Call for Price,White
2023,Al Awir,0,1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Jetour  X70 Plus 2023,Call for Price,Purple
2023,Al Awir,0,4000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,4,N/A,N/A,N/A,New Toyota Hilux 2023,Call for Price,White
2023,Al Awir,0,2400,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,5,N/A,N/A,N/A,New Lexus RX 350 2023,Call for Price,Black
2023,Al Awir,0,1600,Automatic,N/A,Front Wheel Drive,Other Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Hyundai Tucson Turbo 1.6L T-GDI FWD 2023,Call for Price,Green
2023,Al Awir,0,2500,CVT,N/A,All Wheel Drive,GCC Specs,N/A,Hybrid,4,5,7 Seater,N/A,N/A,New Toyota Highlander  2.5L Hybrid GLE AWD  2023,Call for Price,White
2023,Al Awir,0,1197,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Suzuki Swift 1.2L GL 2023,Call for Price,Silver
2019,Al Awir,"65,000",4000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,N/A,N/A,N/A,Used Mercedes-Benz G 63 AMG 2019,"625,000",White
2023,Al Awir,0,1496,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,5,7 Seater,N/A,N/A,New Toyota Rush 1.5L STD 7-Seater 2023,Call for Price,Brown
2023,Al Awir,0,1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Jetour  Dashing 2023,Call for Price,Gray
2022,Al Awir,0,4500,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Diesel,8,2,3 Seater,N/A,N/A,New Toyota Land Cruiser Pick Up 2022,Call for Price,White
2023,Al Awir,0,4000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,N/A,N/A,New Toyota Land Cruiser 4.0L GXR 2023,Call for Price,Black
2022,Ras Al Khor,0,N/A,Automatic,N/A,Front Wheel Drive,Other Specs,N/A,Electric,"N/A, Electric",5,N/A,Perfect inside out,N/A,New Volkswagen ID3 2022,Call for Price,White
2022,Al Awir,0,N/A,Automatic,N/A,Rear Wheel Drive,Other Specs,N/A,Electric,"N/A, Electric",5,N/A,N/A,N/A,New Volkswagen ID6 2022,Call for Price,Blue
2023,Al Awir,0,1500,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Chevrolet Captiva 1.5T Premier 2023,Call for Price,Gray
2023,Al Awir,0,2000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Toyota Rav4 2023,Call for Price,White
2023,Al Awir,0,2500,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,4,5,7 Seater,N/A,N/A,New Kia Sorento 2023,Call for Price,Black
2023,Al Awir,0,1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Jetour  X70 Plus 2023,Call for Price,Purple
2023,Al Awir,0,2800,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Diesel,4,4,N/A,N/A,N/A,New Toyota Hilux 2023,Call for Price,White
2023,Al Awir,0,2400,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,5,N/A,N/A,N/A,New Lexus RX 350 2023,Call for Price,Black
2023,Al Awir,0,1600,Automatic,N/A,Front Wheel Drive,Other Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Hyundai Tucson Turbo 1.6L T-GDI FWD 2023,Call for Price,Green
2023,Al Awir,0,2500,CVT,N/A,All Wheel Drive,GCC Specs,N/A,Hybrid,4,5,7 Seater,N/A,N/A,New Toyota Highlander  2.5L Hybrid GLE AWD  2023,Call for Price,White
2023,Al Awir,0,1197,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Suzuki Swift 1.2L GL 2023,Call for Price,Silver
2019,Al Awir,"65,000",4000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,N/A,N/A,N/A,Used Mercedes-Benz G 63 AMG 2019,"625,000",White
2019,Souq Al Haraj,"47,000",3600,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,N/A,N/A,Used Dodge Charger  3.6L SXT Plus 2019,"61,000",Blue
2018,Souq Al Haraj,"40,000",N/A,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Audi Q3 2018,"65,000",Black
2013,Souq Al Haraj,"152,000",N/A,Automatic,N/A,Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mini Cooper 2013,"23,000",Blue
2022,Ras Al Khor,0,2487,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Hybrid,4,4,5 Seater,Perfect inside out,N/A,New Toyota Camry 2.5L GLE HEV 2022,Call for Price,White
2022,Ras Al Khor,"9,000",3500,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,Used Lexus LX 600 F Sport Launch Edition AWD 5-Seats 2022,"565,000",Gray
2023,Ras Al Khor,0,4759,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,New Nissan Patrol Safari 4.8L A/T Full Option 2023,"187,000",White
2014,Souq Al Haraj,"228,000",3500,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz E-Class  E 350 2014,"44,000",Gray
2014,Souq Al Haraj,"220,000",3500,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,4,7 Seater,Perfect inside out,N/A,Used Ford Explorer 3.5LV6 XLT 2014,"32,500",Black
2019,Ras Al Khor,"80,000",3500,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,6,4,4 Seater,Perfect inside out,N/A,Used Mercedes-Benz CLS-Class CLS 350 2019,"235,000",White
2023,Ras Al Khor,0,4759,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,New Nissan Patrol Safari  4.8L A/T (Full Option) 2023,"187,000",Black
2024,Ras Al Khor,0,1462,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,3,4 Seater,Perfect inside out,N/A,New Suzuki Jimny 1.5L GLX A/T 2024,"124,000",Gray
2022,Ras Al Khor,0,4400,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,N/A,Perfect inside out,N/A,New Mercedes-Benz G 63 AMG 2022,"959,000",Black
2023,Al Awir,0,1496,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,5,7 Seater,N/A,N/A,New Toyota Rush 1.5L STD 7-Seater 2023,Call for Price,Brown
2023,Al Awir,0,1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Jetour  Dashing 2023,Call for Price,Gray
2022,Al Awir,0,4500,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Diesel,8,2,3 Seater,N/A,N/A,New Toyota Land Cruiser Pick Up 2022,Call for Price,White
2022,Ras Al Khor,0,N/A,Automatic,N/A,Front Wheel Drive,Other Specs,N/A,Electric,"N/A, Electric",5,N/A,Perfect inside out,N/A,New Volkswagen ID3 2022,Call for Price,White
2022,Al Awir,0,N/A,Automatic,N/A,Rear Wheel Drive,Other Specs,N/A,Electric,"N/A, Electric",5,N/A,N/A,N/A,New Volkswagen ID6 2022,Call for Price,Blue
2023,Al Awir,0,1500,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Chevrolet Captiva 1.5T Premier 2023,Call for Price,Gray
2023,Al Awir,0,4000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,4,N/A,N/A,N/A,New Toyota Hilux 2023,Call for Price,Black
2023,Al Awir,0,4000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,N/A,N/A,New Toyota Land Cruiser 4.0L GXR 2023,Call for Price,Black
2023,Al Awir,0,1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Jetour  X70 Plus 2023,Call for Price,Black
2023,Al Awir,0,1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,New Jetour  X70 Plus 2023,Call for Price,White
2023,Ras Al Khor,0,4759,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,New Nissan Patrol Safari  4.8L A/T (Full Option) 2023,"187,000",Black
2024,Ras Al Khor,0,1462,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,3,4 Seater,Perfect inside out,N/A,New Suzuki Jimny 1.5L GLX A/T 2024,"124,000",Gray
2022,Ras Al Khor,0,4400,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,N/A,Perfect inside out,N/A,New Mercedes-Benz G 63 AMG 2022,"959,000",Black
2023,Ras Al Khor,0,4759,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,New Nissan Patrol Super Safari  4.8L A/T (Full Option) 2023,"209,000",Beige
2023,Ras Al Khor,"7,500",5000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover  Vogue HSE 2023,"739,000",White
2021,Al Reem Island,"41,000",1498,CVT,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,4,N/A,Perfect inside out,N/A,Used Honda Accord 1.5T LX Sport 2021,"104,000",Silver
2023,Al Awir,0,4000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,New Toyota Land Cruiser Prado  4.0L V6 VX3 2023,Call for Price,Gray
2015,Al Khalidiyah,"163,000",1600,Automatic,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,4,N/A,Perfect inside out,N/A,Used Mazda 3 Sedan  1.6 S 2015,"29,500",Blue
2016,Souq Al Haraj,"119,000",2000,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Kia Optima  2.0L Mid 2016,"30,000",White
2016,Souq Al Haraj,"153,000",1999,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Kia Soul  2.0L 2016,"28,000",Gray
2016,Ras Al Khaimah,"192,000",1798,Automatic,Yes,Front Wheel Drive,American Specs,2,Petrol,4,5,5 Seater,Perfect inside out,No,Used Nissan Sentra  1.8L S 2016,"23,000",Silver
2018,Sharjah,"200,000",1498,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Geely GC6 1.5L Standard 2018,"13,500",Maroon
2024,Al Awir,0,1798,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Hybrid,4,5,5 Seater,Perfect inside out,N/A,New Toyota Corolla Cross  1.8L XLE (HEV) 2024,Call for Price,Black
2023,Al Awir,0,2700,Manual,N/A,Rear Wheel Drive,GCC Specs,N/A,Diesel,4,2,N/A,N/A,N/A,New Kia K2700 2023,Call for Price,White
2022,Ras Al Khor,0,2487,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Hybrid,4,4,5 Seater,Perfect inside out,N/A,New Toyota Camry 2.5L GLE HEV 2022,Call for Price,White
2023,Al Awir,0,2999,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,New Mercedes-Benz GLS  450 4MATIC 2023,"490,000",Black
2021,Al Awir,"17,000",2995,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,Used Volkswagen Touareg 3.0T Comfortline 340 HP 2021,"190,000",White
2018,Ras Al Khor,0,N/A,Automatic,N/A,Rear Wheel Drive,Other Specs,N/A,Electric,"N/A, Electric",2,2 Seater,Perfect inside out,N/A,New Renault Twizy 2018,"16,000",Black
2024,Dubai Motor City,0,4400,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,New BMW X6 X6 M 2024,"539,000",Black
2021,Al Reem Island,"41,000",1498,CVT,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,4,N/A,Perfect inside out,N/A,Used Honda Accord 1.5T LX Sport 2021,"104,000",Silver
2016,Souq Al Haraj,"153,000",1999,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Kia Soul  2.0L 2016,"28,000",Gray
2023,Ras Al Khor,0,1,Automatic,N/A,Front Wheel Drive,Other Specs,N/A,Petrol,4,4,7 Seater,Perfect inside out,N/A,New Mitsubishi Xpander 2023,"55,000",Silver
2015,Al Khalidiyah,"163,000",1600,Automatic,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,4,N/A,Perfect inside out,N/A,Used Mazda 3 Sedan  1.6 S 2015,"29,500",Blue
2016,Souq Al Haraj,"119,000",2000,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Kia Optima  2.0L Mid 2016,"30,000",White
2016,Ras Al Khaimah,"192,000",1798,Automatic,Yes,Front Wheel Drive,American Specs,2,Petrol,4,5,5 Seater,Perfect inside out,No,Used Nissan Sentra  1.8L S 2016,"23,000",Silver
2018,Sharjah,"200,000",1498,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Geely GC6 1.5L Standard 2018,"13,500",Maroon
2013,Sharjah,"135,000",4800,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,8,4,4 Seater,Perfect inside out,N/A,Used Porsche Panamera  S 2013,"57,000",White
2023,Dubai,0,2995,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,New Audi Q8 55 TFSI S-Line quattro 340 HP  2023,"295,000",White
2023,Dubai,0,2995,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,New Audi Q8 55 TFSI S-Line quattro 340 HP  2023,"295,000",Blue
2021,Dubai,"17,537",4999,Automatic,N/A,All-Wheel Drive (AWD),Other Specs,N/A,Petrol,8,5,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Sport 2021,"335,000",Silver
2020,Dubai,"12,190",3000,Automatic,N/A,All-Wheel Drive (AWD),Other Specs,N/A,Diesel,6,5,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover  Autobiography   2020,"350,000",Black
2023,Dubai,0,2999,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,New Mercedes-Benz GLS 450 4MATIC 2023,"430,000",Gray
2021,Dubai,288,5000,Automatic,N/A,All-Wheel Drive (AWD),Other Specs,N/A,Petrol,8,5,5 Seater,Perfect inside out,N/A,New Jaguar F-Pace 5.0L V8 SVR 550 PS 2021,"250,000",Blue
2023,Dubai,0,2995,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,New Audi Q8 55 TFSI S-Line quattro 340 HP  2023,"295,000",Orange
2020,Sharjah,"34,000",N/A,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,N/A,5,N/A,Perfect inside out,N/A,Used Kia Sportage 2020,"70,000",Gray
2019,Sharjah,"55,000",2400,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,N/A,N/A,N/A,Used Kia Optima 2.4L Top 2019,"39,000",Black
2022,Dubai,0,5980,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,12,4,4 Seater,Perfect inside out,N/A,New Mercedes-Benz Maybach S 680 4MATIC 2022,"799,000",Silver
2022,Dubai,0,2995,Automatic,N/A,All-Wheel Drive (AWD),Other Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,New Audi Q8 55 TFSI S-Line quattro 340 HP  2022,"250,000",Beige
2022,Dubai,0,2995,Automatic,N/A,Drive,Other Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,New Audi Q8 55 TFSI S-Line quattro 340 HP  2022,"260,000",Gray
